id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,preview_url
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,https://www.soundhelix.com/examples/mp3/SoundHelix-Song-1.mp3
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,https://www.soundhelix.com/examples/mp3/SoundHelix-Song-2.mp3
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,https://www.soundhelix.com/examples/mp3/SoundHelix-Song-3.mp3
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,
11,Concrete Kingdom,Blocktext,hip hop,confident,0.80,95,0.62,0.85,0.12,
12,Moonlit Sonata Drift,Aria Vance,classical,melancholy,0.30,66,0.34,0.22,0.95,
13,Voltage Bloom,Pulsewave,edm,energetic,0.95,128,0.72,0.90,0.03,https://www.soundhelix.com/examples/mp3/SoundHelix-Song-8.mp3
14,Harvest Road,Willow & Wren,folk,nostalgic,0.45,98,0.68,0.55,0.82,
15,Island Time,Sunny Coast,reggae,uplifting,0.58,76,0.83,0.74,0.44,
16,Iron Verdict,Ashfall,metal,aggressive,0.97,160,0.31,0.52,0.04,
17,Velvet Hours,Marlowe Rae,r&b,romantic,0.52,84,0.66,0.71,0.38,
18,Dusty Highway,Cody Rivers,country,hopeful,0.60,112,0.70,0.63,0.58,
19,Neon Bazaar,Sitar Circuit,world,mysterious,0.64,102,0.55,0.68,0.49,
20,Late Shift Funk,The Groove Unit,funk,playful,0.78,116,0.79,0.89,0.20,
